"classroomID","model","n","edges_y","term","estimate","tstat","p_two_sided"
1,"QAP_W2_on_W1",23,221,"(Intercept)",-1.12885217385502,-8.5545658617841,0
1,"QAP_W2_on_W1",23,221,"W1",2.19356291084444,10.4207922669668,0
1,"MRQAP_full",23,221,"(Intercept)",-0.124123059442745,-0.234738363766822,0.9034
1,"MRQAP_full",23,221,"W1",1.98160310476289,8.87330536924918,0
1,"MRQAP_full",23,221,"literacy_recv",-0.00326997500798884,-0.66967423761619,0.6838
1,"MRQAP_full",23,221,"same_gender",1.12225507357276,5.17619708957225,2e-04
1,"MRQAP_full",23,221,"HISEI_send",-0.023253351295136,-3.0853649114418,0.1216
2,"QAP_W2_on_W1",19,129,"(Intercept)",-1.37486566529601,-8.14766383894034,0
2,"QAP_W2_on_W1",19,129,"W1",2.15395527565608,8.39188628033139,0
2,"MRQAP_full",19,129,"(Intercept)",-0.38808511435239,-0.63607654094176,0.698
2,"MRQAP_full",19,129,"W1",1.90392776296367,6.72660560211554,0
2,"MRQAP_full",19,129,"literacy_recv",-0.0162351416270275,-2.33327509097065,0.0712
2,"MRQAP_full",19,129,"same_gender",0.803957413157728,2.9148811144136,0.006
2,"MRQAP_full",19,129,"HISEI_send",-0.00827679301146787,-1.10450488180273,0.5442
3,"QAP_W2_on_W1",17,81,"(Intercept)",-1.87180217689877,-8.53674004305207,0
3,"QAP_W2_on_W1",17,81,"W1",2.3595053832439,7.68800585962054,0
3,"MRQAP_full",17,81,"(Intercept)",-2.65821060392763,-4.50531218067562,2e-04
3,"MRQAP_full",17,81,"W1",1.27678487484966,3.43673315185547,0.0014
3,"MRQAP_full",17,81,"literacy_recv",0.000999942423759844,0.134502655738115,0.9166
3,"MRQAP_full",17,81,"same_gender",1.95709305230019,4.4673625275419,0
3,"MRQAP_full",17,81,"HISEI_send",-0.000379659755285672,-0.0450152415223004,0.9554
4,"QAP_W2_on_W1",18,133,"(Intercept)",-1.00644182886567,-6.27015632088015,0
4,"QAP_W2_on_W1",18,133,"W1",2.05626395336136,7.5600678750828,0
4,"MRQAP_full",18,133,"(Intercept)",-0.489116949652623,-0.777347450259649,0.7112
4,"MRQAP_full",18,133,"W1",1.90003486911519,6.47914299694865,0
4,"MRQAP_full",18,133,"literacy_recv",0.00285228410706256,0.575595430156436,0.5968
4,"MRQAP_full",18,133,"same_gender",0.357644934062372,1.27471831087875,0.2158
4,"MRQAP_full",18,133,"HISEI_send",-0.0136963927081722,-1.45015864839168,0.5076
5,"QAP_W2_on_W1",24,176,"(Intercept)",-1.74846266347471,-12.394833420993,0
5,"QAP_W2_on_W1",24,176,"W1",2.89971868562562,12.3116175468087,0
5,"MRQAP_full",24,176,"(Intercept)",-0.478338687772589,-0.603494156072931,0.645
5,"MRQAP_full",24,176,"W1",2.44957330130041,9.62055484369095,0
5,"MRQAP_full",24,176,"literacy_recv",-0.00184468869357193,-0.221239586757664,0.8524
5,"MRQAP_full",24,176,"same_gender",1.05645433998272,4.17407698930324,2e-04
5,"MRQAP_full",24,176,"HISEI_send",-0.0254378668265945,-2.65059508503976,0.061
9,"QAP_W2_on_W1",15,89,"(Intercept)",-2.29253475714052,-6.90908113208846,0
9,"QAP_W2_on_W1",15,89,"W1",3.57094015624922,8.70666415882071,0
9,"MRQAP_full",15,89,"(Intercept)",-4.21032820591447,-4.45423264035858,0
9,"MRQAP_full",15,89,"W1",3.26650056672221,7.65052657071388,0
9,"MRQAP_full",15,89,"literacy_recv",0.00959883572589,1.15482821069111,0.4308
9,"MRQAP_full",15,89,"same_gender",1.12152837201593,2.73126090028733,0.0156
9,"MRQAP_full",15,89,"HISEI_send",0.0194392569492942,1.55329217141526,0.033
10,"QAP_W2_on_W1",16,142,"(Intercept)",-0.36290549368937,-2.22953936198564,0.5624
10,"QAP_W2_on_W1",16,142,"W1",2.92785485114609,6.45112892286537,0
10,"MRQAP_full",16,142,"(Intercept)",-3.38126665411648,-3.96448008025645,0.0348
10,"MRQAP_full",16,142,"W1",2.31817497885345,4.81237691314554,0
10,"MRQAP_full",16,142,"literacy_recv",0.0163386306192333,2.25781980731856,0.1376
10,"MRQAP_full",16,142,"same_gender",1.8688700496623,5.11209010396151,0
10,"MRQAP_full",16,142,"HISEI_send",0.029031933637624,2.4267131203426,0.1846
12,"QAP_W2_on_W1",17,193,"(Intercept)",-0.500775287912492,-2.49914767908214,0.9468
12,"QAP_W2_on_W1",17,193,"W1",2.96626385184295,8.43688548036784,0
12,"MRQAP_full",17,193,"(Intercept)",0.394794577984949,0.487723978922938,0.7734
12,"MRQAP_full",17,193,"W1",2.96446856108977,7.6571725581884,0
12,"MRQAP_full",17,193,"literacy_recv",0.00702002929087646,0.516517509545214,0.7474
12,"MRQAP_full",17,193,"same_gender",0.237197880054572,0.617499491020801,0.6466
12,"MRQAP_full",17,193,"HISEI_send",-0.0247235092924154,-2.02693069923282,0.2774
