"node","outdegree"
1,2
2,3
3,2
4,5
5,5
6,1
7,5
8,6
9,4
10,5
11,4
12,2
13,4
14,5
15,3
16,2
17,4
18,5
19,3
20,1
21,4
22,4
23,4
24,3
25,5
26,3
27,4
28,6
29,2
30,3
31,2
32,6
33,3
34,1
35,6
36,5
37,1
38,4
39,6
40,5
41,6
42,5
43,5
44,2
45,2
46,6
47,3
48,4
49,4
50,6
51,5
52,4
53,3
54,3
55,3
56,6
57,5
58,5
59,4
60,4
61,3
62,3
63,5
64,4
65,6
66,0
67,0
68,5
69,6
70,5
71,1
72,4
73,6
74,2
75,4
76,5
77,3
78,6
79,3
80,0
81,2
82,2
83,4
84,4
85,6
86,2
87,4
88,4
89,5
90,3
91,2
92,3
93,1
94,0
95,1
96,5
97,6
98,2
99,3
100,3
101,2
102,3
103,2
104,3
105,2
106,2
107,2
108,2
109,4
110,4
111,3
112,3
113,3
114,2
115,6
116,3
117,0
118,2
119,3
120,3
121,2
122,2
123,4
124,2
125,4
126,3
127,6
128,5
129,0
