"term","estimate","std_error","mcmc_percent","z","p_value"
"edges",-5.43552476036984,0.306425479582822,0,-17.7384882215733,0.000000000000000000000000000000000000000000000000000000000000000000000211550378009978
"nodematch.gender",1.00752073806134,0.172218347760881,0,5.85025202692247,0.00000000490828716804922
"mutual",2.95727351866565,0.149060368551895,0,19.8394351724422,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000135977797569455
"gwesp.OTP.fixed.0.2",1.45607030000368,0.0669385634627249,0,21.7523386323416,6.56466691065403e-105
"nodeofactor.gender.1",-0.164588164206295,0.173259372325833,0,-0.949952444112336,0.342136417170704
"nodeifactor.gender.1",0.0744222612298638,0.174115283491387,0,0.427430951135002,0.669065467759269
"nodeocov.alcohol",-0.142577444022799,0.0635301129199667,0,-2.24424981272131,0.0248163326661259
"nodeicov.alcohol",0.145314265484641,0.0629797201353694,0,2.30731837442752,0.021037077924521
"absdiff.alcohol",-0.17260619538159,0.069742389464131,0,-2.47491083554518,0.0133269443110417
"edgecov.logdistance",-0.135513850971383,0.0923408171139986,0,-1.46754008906035,0.142229192076881
"gwideg.fixed.0.6",-0.125564558470225,0.302801054016239,0,-0.414676754934581,0.678378551159404
"gwodeg.fixed.0.6",0.508805979524635,0.288762900110955,0,1.76201991089967,0.0780659334620653
