"term","mean_centered","ts_se","z_mean0","p_mean0","ess","acf_lag1","geweke_z"
"edges",-5.00772489409419,1.31400915984515,-3.81102738635727,0.000138390432859659,473.959592438115,0.681020318002812,0.84719713063928
"nodematch.gender",-5.11088960877149,1.4441951371571,-3.53891899873882,0.000401769114786817,431.719220845091,0.734138640113313,0.931451351314808
"mutual",-1.14253675554448,0.540933969811961,-2.11215567759897,0.034673098721577,462.168469979906,0.730179294381738,1.256257892809
"gwesp.OTP.fixed.0.2",-6.40991499354867,1.78073942078922,-3.59958055553563,0.000318730885804713,453.864992195814,0.715582339383537,1.05042162916405
"nodeofactor.gender.1",-3.19760777473212,1.23248766939896,-2.5944338869463,0.00947468337811361,376.329415301441,0.722230030340949,0.363031271065261
"nodeifactor.gender.1",-2.99676052828308,1.26051779934082,-2.37740437290947,0.0174349630377857,381.509997881685,0.718049726912761,0.352283273836686
"nodeocov.alcohol",-10.3104909045602,3.13804166389098,-3.28564500057523,0.00101749157245009,508.199891970855,0.662135885160441,0.95239641219578
"nodeicov.alcohol",-10.7515574383254,3.16657710786064,-3.39532469038446,0.000685472565558637,563.345998743332,0.646627418427554,0.895477631194755
"absdiff.alcohol",-4.48043857463244,1.50315016739985,-2.98069924868698,0.00287591081514943,611.182248009136,0.603210212158664,1.56379398876457
"edgecov.logdistance",0.00465237991462935,0.82137310891874,0.00566414929355768,0.99548068689381,540.380442081898,0.624720626725021,-0.358241797937901
"gwideg.fixed.0.6",-0.176334414412482,0.149503037438279,-1.1794704471157,0.238210897795566,993.281261494181,0.370410883334059,0.640148308927047
"gwodeg.fixed.0.6",-0.169862350616579,0.124751665909405,-1.36160386619553,0.173322934464908,921.224754163172,0.396937109768086,1.12716301922549
